부위,이름,방법,참조
목,으쓱으쓱운동,,https://www.mokhuri.com/02_vertebra/vertebra01_13.php?
목,만세운동,,https://www.mokhuri.com/02_vertebra/vertebra01_13.php?
목,목돌리기운동,,https://www.youtube.com/watch?v=3aTPapvWpKs
목,열중쉬어운동,,https://www.youtube.com/watch?v=E0rugjm7gkY
목,팔꿈치 멀리 보내기 운동,,https://www.youtube.com/watch?v=E0rugjm7gkY
목,머리 지긋이 누르기 운동,,https://www.youtube.com/watch?v=E0rugjm7gkY
허리,엎드리기,,
허리,엎드려 팔 펴 윗몸 세우기,,
허리,누워 등 굽히기,,
허리,앉아 등 굽히기,,
허리,isometric rows,,
허리,child`s pose,,
골반,piriformis stretch,,https://media.self.com/photos/5a305b5a83ab3f54feacf748/master/w_1600%2Cc_limit/2_13self.jpg
골반,lunge with spinal twist,,https://media.self.com/photos/5a305b43e1ef6d3e6b8801bf/master/w_1600%2Cc_limit/2_7self.jpg
골반,lunging hip flexor stretch,,https://media.self.com/photos/5a305cab9bddcf5b219b2c5f/master/w_1600%2Cc_limit/2_4Self.jpg
골반,figure four stretch,,https://media.self.com/photos/5a305ae99bddcf5b219b2c5b/master/w_1600%2Cc_limit/2_16self.jpg
골반,pretzel stretch,,https://media.self.com/photos/5a305dc52323e96043af7db3/master/w_1600%2Cc_limit/2_25self.jpg
골반,pigeon stretch,,https://thumbs.gfycat.com/EsteemedSpicyBeaver-mobile.mp4
코어,논산 훈련소,,https://www.youtube.com/embed/swxfuFCVRYE?start=337
코어,양말 스케이팅,,https://www.youtube.com/embed/swxfuFCVRYE?start=438
코어,흉추 가동술,,https://www.youtube.com/embed/swxfuFCVRYE?start=337
코어,cat and cow,,https://www.youtube.com/watch?v=hJuO1AUqLUc
코어,dead bug,,https://www.youtube.com/watch?v=QOyySI0Luwg
코어,russian twist,,https://www.youtube.com/watch?v=eYckJiP47Aw
